"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","significant","direction"
"11761699_at",0.0453755102040816,2.09305204081633,1.88902949607243,0.0603601369134851,0.0859359352401227,-5.98659559376241,"Septin 2","Not Significant","NS"
"11734707_at",0.0919346938775506,9.20459693877551,1.88894412062026,0.0603716428678517,0.085949838700214,-5.98675450889156,"L2HGDH","Not Significant","NS"
"11740003_at",0.0438275510204082,2.21958316326531,1.88876928204507,0.0603952113847108,0.085980914080292,-5.98707992619476,"TP53I3","Not Significant","NS"
"11738587_at",0.0529571428571427,2.47814285714286,1.88843265810417,0.0604406104671589,0.0860430655942783,-5.98770638379146,"CASP8","Not Significant","NS"
"11748215_x_at",-0.0661755102040812,2.7697387755102,-1.88836588216949,0.0604496196489869,0.0860534104688363,-5.98783064109569,"CRB1","Not Significant","NS"
"11733870_at",-0.22219693877551,3.83201173469388,-1.8876648349945,0.0605442702616122,0.0861856665938367,-5.98913490070609,"PBX1","Not Significant","NS"
"11720390_a_at",0.0847285714285712,4.99786224489796,1.88741241545771,0.0605783805173525,0.0862317374828492,-5.9896043989854,"ANXA4","Not Significant","NS"
"11746459_a_at",0.112301020408163,3.3043943877551,1.88734584175038,0.0605873795083495,0.086242061518932,-5.98972821544779,"ANXA4","Not Significant","NS"
"11749376_a_at",-0.0535224489795919,2.33862040816327,-1.88696450522063,0.060638947557508,0.0863129774058996,-5.99043735932986,"NFIX","Not Significant","NS"
"11742085_x_at",0.0394122448979589,2.22719387755102,1.88694107203216,0.0606421176169854,0.0863150018915883,-5.99048093182384,"ERGIC1","Not Significant","NS"
"AFFX-r2-TagIN-5_at",-0.042831632653061,2.12910459183673,-1.88692805655939,0.0606438784197699,0.0863150204518634,-5.99050513302582,"MLH3","Not Significant","NS"
"11726573_a_at",0.0543581632653062,2.46961479591837,1.88668299743445,0.0606770392990536,0.0863597297565654,-5.99096077027912,"GNAI1","Not Significant","NS"
"11761406_at",-0.0669785714285711,3.1003637755102,-1.88655050581344,0.0606949740881102,0.0863827662915104,-5.99120708754511,"PACS1","Not Significant","NS"
"11725405_a_at",-0.0817438775510204,6.62265255102041,-1.88628070158732,0.0607315099455492,0.0864322742909683,-5.99170863327063,"BAIAP2","Not Significant","NS"
"11762097_at",0.0446428571428571,2.18129387755102,1.88581662860753,0.0607943958906807,0.0865192794495175,-5.99257114814183,"BAIAP2","Not Significant","NS"
"11717749_x_at",-0.144504081632653,3.32617346938776,-1.88563333667307,0.0608192485218954,0.0865521542086368,-5.99291175373722,"ARL8B","Not Significant","NS"
"11743995_a_at",-0.0532877551020408,2.42847959183673,-1.8855863233246,0.0608256244483937,0.0865587335468064,-5.99299911200838,"ARL8B","Not Significant","NS"
"11739359_a_at",0.0484316326530609,2.18330255102041,1.88553244848904,0.0608329316124214,0.0865666376778863,-5.99309921742994,"CELF6","Not Significant","NS"
"11759955_at",0.0618979591836732,2.17236632653061,1.88549446608524,0.0608380836909617,0.0865714747064437,-5.99316979129225,"MASP1","Not Significant","NS"
"11725600_at",-0.0753418367346934,2.97991071428571,-1.88547233238072,0.060841086159294,0.0865732526885901,-5.99321091657249,"SAV1","Not Significant","NS"
"11761838_at",-0.0494510204081631,2.23304183673469,-1.88532842636621,0.0608606102306347,0.0865985391509198,-5.99347828816662,"KCNN1","Not Significant","NS"
"11727670_s_at",-0.060184693877551,2.79874234693878,-1.88530053707073,0.0608643946426983,0.0866014288462445,-5.99353010308051,"ZNF107","Not Significant","NS"
"11724393_at",-0.0606785714285716,2.55900255102041,-1.88521631128223,0.0608758247754095,0.0866151968412093,-5.99368657984912,"PLAT","Not Significant","NS"
"11741905_at",0.0364326530612244,2.26706428571429,1.88512995625873,0.0608875457232569,0.0866293778078639,-5.99384700536369,"ISYNA1","Not Significant","NS"
"11715129_s_at",-0.10129081632653,6.58276581632653,-1.88487123918711,0.0609226726104887,0.0866768584219173,-5.994327592991,"LUC7L3","Not Significant","NS"
"11732022_a_at",0.0471591836734694,2.12435102040816,1.88480563557476,0.0609315825218442,0.0866870375485783,-5.99444944683079,"FOXO3 /// FOXO3B","Not Significant","NS"
"11750833_a_at",-0.0800265306122446,3.00987959183673,-1.88462789798983,0.0609557273005145,0.0867188900288993,-5.99477956064727,"NEK2","Not Significant","NS"
"11758091_s_at",0.121175510204082,5.79631632653061,1.88446653311161,0.060977654843647,0.086747586406693,-5.99507923926668,"NEK2","Not Significant","NS"
"11748508_a_at",-0.060005102040816,3.67068112244898,-1.88436923849485,0.0609908791915845,0.086763900211879,-5.99525991790591,"SPIN1","Not Significant","NS"
"11729841_a_at",0.0486489795918366,2.35970102040816,1.88426559893898,0.0610049685809129,0.0867814436252258,-5.99545236936621,"ULK3","Not Significant","NS"
"11730534_x_at",-0.132225510204081,3.77630357142857,-1.88335397052611,0.0611290179587199,0.0869554029871923,-5.99714476019665,"CSF1R","Not Significant","NS"
"11729154_x_at",0.32194081632653,9.50174795918367,1.88290068628007,0.0611907767040827,0.0870407470925956,-5.99798596484403,"ARFIP2","Not Significant","NS"
"11754534_a_at",0.0992836734693874,6.56468163265306,1.88264945130765,0.0612250292080254,0.0870869611885813,-5.99845212244376,"CNOT8","Not Significant","NS"
"11748866_x_at",-0.0617571428571429,2.19819489795918,-1.88247966095792,0.0612481868943009,0.0871173917214926,-5.99876712845396,"CHRNB1","Not Significant","NS"
"11718308_at",-0.190930612244897,6.41523469387755,-1.88240374398965,0.0612585435653447,0.0871296132860467,-5.99890796564564,"CCT4","Not Significant","NS"
"11741167_at",0.0467744897959184,2.19567908163265,1.88233619663288,0.0612677596739071,0.0871402119418131,-5.99903327136589,"FAM167A","Not Significant","NS"
"AFFX-Nonspecific-GC18_at",-0.028742857142857,2.35049183673469,-1.88225279502468,0.0612791405203402,0.0871538887725355,-5.99918798200034,"SLC6A9","Not Significant","NS"
"11740371_s_at",0.0857928571428571,7.14934948979592,1.88222721181992,0.0612826319159692,0.0871563444147459,-5.99923543771978,"RUFY2","Not Significant","NS"
"11720337_a_at",0.058838775510204,10.0052948979592,1.88212096274293,0.0612971337349902,0.0871744585220361,-5.9994325184266,"Septin 6","Not Significant","NS"
"11733356_at",-0.070304081632653,3.32777346938775,-1.88209408095616,0.0613008032542044,0.0871771667438056,-5.99948237957332,"DIO2","Not Significant","NS"
"11760166_at",-0.0529459183673468,2.79944030612245,-1.88201397861147,0.0613117387739906,0.0871902076449061,-5.99963095173876,"CYBB","Not Significant","NS"
"11758733_at",-0.0608367346938773,2.15402551020408,-1.88187282382901,0.0613310130943261,0.0872142741455125,-5.99989274785419,"DPH2","Not Significant","NS"
"11752050_x_at",-0.150255102040815,4.8876612244898,-1.88186417549854,0.0613321941658294,0.0872142741455125,-5.99990878707275,"C10orf140","Not Significant","NS"
"11761644_at",-0.0573408163265304,2.44414897959184,-1.88172504199012,0.0613511977392741,0.0872387852797729,-6.00016681470492,"IDH3A","Not Significant","NS"
"11731404_at",0.0789602040816324,2.47438724489796,1.88167732291182,0.0613577165889227,0.0872439661099109,-6.00025530705514,"LMO3","Not Significant","NS"
"11726883_s_at",-0.118479591836735,6.24195510204082,-1.8816725083365,0.0613583743347413,0.0872439661099109,-6.0002642352944,"UBXN2A","Not Significant","NS"
"11722770_at",-0.0544163265306118,2.48960510204082,-1.88140582307252,0.0613948168761231,0.0872932695987854,-6.00075874706385,"AGT","Not Significant","NS"
"11752888_a_at",-0.0481336734693876,2.35155765306122,-1.88107328812076,0.0614402830737993,0.0873554000254111,-6.00137526853026,"SH2B1","Not Significant","NS"
"11754312_s_at",-0.0624112244897959,6.19176581632653,-1.88060463643783,0.061504407667445,0.0874421218352239,-6.00224397263103,"SH2B1","Not Significant","NS"
"11728718_a_at",-0.183020408163265,7.18352755102041,-1.88060163227988,0.0615048188998941,0.0874421218352239,-6.00224954053743,"CSMD2","Not Significant","NS"
"11716772_at",-0.0677979591836732,4.41328469387755,-1.88029912211732,0.0615462405850482,0.0874984926458975,-6.00281016894747,"ZFAT","Not Significant","NS"
"11747555_x_at",0.064173469387755,2.31455612244898,1.87994343687547,0.0615949731171044,0.0875652535295005,-6.00346923304925,"DCTN4","Not Significant","NS"
"11729358_a_at",-0.0656734693877551,2.73180816326531,-1.87991818251278,0.0615984344477309,0.087567653530099,-6.00351602334414,"VSIG1","Not Significant","NS"
"11738171_at",0.0469683673469386,2.30732397959184,1.87983443577078,0.0616099138301841,0.0875793463545588,-6.00367118169124,"CPEB1","Not Significant","NS"
"11740702_a_at",0.0663867346938775,2.9067443877551,1.87983230185361,0.0616102063550415,0.0875793463545588,-6.00367513513181,"DDX3Y","Not Significant","NS"
"11736520_at",-0.0438744897959184,2.13374234693878,-1.87977696387847,0.061617792683539,0.087587609287317,-6.00377765652854,"PSEN1","Not Significant","NS"
